out:Span,out:Height,out:Material frame,out:Material interm ,out:Width,out:Height column-base,out:Height column-corner,out:Height beam-corner,out:Height beam-apex,out:SI column-base,out:SI corner,out:SI beam-apex,out:SI interm -base,out:Material bracing,out:Area bracing,out:Height interm ,out:Spacing interm ,out:Pitch,out:No  interm ,out:Corner deflection,out:Max deflection,img,in:CurrentObject
14.301092,6.997062,11.452485,13.15976,104.104273,881.779562,1388.64294,962.583117,911.56408,0.084694,0.049008,7.70382,11.62645,12.543088,19523.88569,289.303623,1.553064,20.708788,1,12.901506,13.252407,CurrentObject56_GH_Print.png,56
32.736536,6.98203,10.750385,13.201271,165.849025,1480.004248,882.295311,1754.152892,519.847378,38.132345,0.134985,0.013187,1.315946,210,638.719444,437.957273,3.364768,18.51438,0,11.60979,17.8129,CurrentObject57_GH_Print.png,57
62.13042,4.580015,12.460039,12.868276,166.610715,1540.687203,1624.164992,437.604033,1342.725305,0.43721,9.226712,4.91922,0.540386,210,1283.90478,463.914528,5.234463,17.824717,4,2.608254,3.082005,CurrentObject58_GH_Print.png,58
58.287935,6.281352,12.127465,9.875825,213.313337,1739.880599,978.798053,866.74179,1784.374846,6.519055,0.109017,25.109878,0.000727,12.331566,18945.46311,475.062565,10.117284,8.420375,1,1.13176,1.602687,CurrentObject59_GH_Print.png,59
56.450034,6.94341,12.226837,8.581294,175.792526,1115.093195,1532.331625,1556.996276,1534.138201,12.418458,0.149016,39.152204,14.052434,210,685.950154,266.426093,5.002744,14.165666,2,6.003536,6.817725,CurrentObject60_GH_Print.png,60
13.302754,3.017086,12.506078,12.63492,144.838228,1250.052328,636.129519,784.224622,1713.217149,31.241643,1.966535,0.002855,13.662893,210,499.997486,428.337481,2.894793,2.319676,0,0.67153,0.69,CurrentObject61_GH_Print.png,61
44.725264,6.959647,13.486874,9.47556,185.073361,1084.960063,1305.175393,363.53214,1675.151081,0.181233,0.350764,0.252542,1.467378,210,1355.922811,483.468287,3.727266,20.755079,1,8.457184,15.118107,CurrentObject62_GH_Print.png,62
50.718599,6.245478,13.409612,10.419592,213.804674,1232.770533,441.94682,1412.596436,900.40753,7.780362,9.082132,0.746731,17.365882,13.544273,13332.32118,550.89215,7.596897,15.172687,1,2.75348,4.843651,CurrentObject63_GH_Print.png,63
59.808751,6.156424,13.233737,14.149721,196.562999,1334.53157,1440.134353,1012.692427,687.091175,17.594887,0.000225,0.0262,26.945759,210,570.597492,576.527735,6.088582,21.509264,3,4.976643,7.433114,CurrentObject64_GH_Print.png,64
49.470965,5.104319,10.408956,10.321531,207.455361,854.602958,959.091871,889.40032,939.20076,2.548943,38.253493,18.804117,0.251662,210,260.888666,532.024129,4.126679,5.599828,3,2.15266,2.280573,CurrentObject65_GH_Print.png,65
9.288851,6.495806,13.353868,10.882307,210.756001,987.258106,1085.336354,1605.548468,1645.688939,0.591369,34.880329,0.002522,24.803371,10.284905,9888.301904,583.909626,1.791276,0.078778,0,4.643927,4.668,CurrentObject66_GH_Print.png,66
45.242589,5.556429,11.904405,11.847713,204.478127,752.315138,982.234192,1832.987682,1681.289388,33.462376,5.849406,23.789217,0.149041,13.416751,24620.8457,498.420554,7.04192,13.166602,1,1.167996,1.517037,CurrentObject67_GH_Print.png,67
25.099051,4.53135,13.342192,14.108484,181.262612,1384.621942,640.069369,439.435389,368.419973,6.183331,2.15132,11.854176,2.39E-10,11.25089,23337.25252,517.6521,3.03559,24.70993,1,0.941552,10.339686,CurrentObject68_GH_Print.png,68
32.039285,6.284116,12.876117,13.898519,203.206612,1446.851648,1744.963823,1539.461292,1025.920515,0.261287,0.53061,0.000065,3.242445,210,346.132723,598.375206,3.886079,3.770873,1,2.322638,2.323,CurrentObject69_GH_Print.png,69
30.433536,4.194118,10.7277,14.19218,182.502996,1639.326718,1290.352644,1677.493855,819.016897,15.400218,10.29102,27.484653,33.500051,210,1154.524741,512.461698,2.568197,14.985399,1,1.116623,1.83263,CurrentObject70_GH_Print.png,70
23.359556,6.600539,12.749086,8.539572,145.481914,1479.259498,955.06919,1150.475432,1464.006858,16.70417,0.396031,2.712675,28.10769,210,1645.289138,366.185558,5.439229,1.486714,0,2.760915,2.761,CurrentObject71_GH_Print.png,71
56.679269,6.524457,12.48958,11.014498,200.346774,1461.728042,1111.093526,619.154889,1372.078736,0.444351,9.927555,20.1213,1.078737,10.438708,9224.437561,567.82964,6.487219,24.55473,3,7.391032,8.157904,CurrentObject72_GH_Print.png,72
13.933857,5.709046,11.357457,9.452551,126.503044,1792.548645,1470.30646,682.559903,1095.502794,10.737831,14.129809,22.720267,0.328771,210,1089.227583,262.319801,2.282024,21.418849,0,2.867729,3.415891,CurrentObject73_GH_Print.png,73
33.894393,6.233571,11.481804,9.663538,157.105864,528.163102,1014.327481,1762.116767,1242.136652,2.062247,21.12386,7.67591,16.000073,11.264924,24437.14108,133.334354,2.869416,18.453187,0,34.772115,38.139974,CurrentObject74_GH_Print.png,74
24.611541,6.727735,13.496078,9.764636,210.71137,1006.452352,1718.560383,1241.041877,1140.919413,21.697378,0.439933,32.62132,0.000096,210,993.945525,628.291121,4.416569,3.150885,0,2.444977,2.445,CurrentObject75_GH_Print.png,75
49.020358,5.771477,12.298962,12.838037,178.026052,1661.429591,1775.500893,1263.861212,1835.630142,35.496618,0.000823,31.964716,28.766277,210,1169.951002,477.883986,9.23547,20.221876,0,3.626841,13.944545,CurrentObject76_GH_Print.png,76
9.594825,5.689065,10.588702,13.931164,141.241914,895.870681,1437.780058,585.694821,535.132195,0.175263,4.749495,1.525321,0.023333,210,1295.42424,351.992281,1.96193,24.744194,0,39.209888,41.834041,CurrentObject77_GH_Print.png,77
32.585999,6.510753,11.358355,11.342077,207.713102,1204.795568,916.461012,910.468431,468.876656,0.776102,6.174833,2.199151,9.964232,11.450926,15022.71365,436.27727,5.28859,14.20269,1,3.007933,4.547264,CurrentObject78_GH_Print.png,78
60.849867,5.192293,12.668313,10.653348,193.207359,362.581374,1477.455195,712.901559,583.432561,38.040165,30.32507,0.339367,1.782315,210,932.805103,569.781361,5.233077,13.362572,4,3.182087,4.022701,CurrentObject79_GH_Print.png,79
37.963613,4.767879,13.096933,8.596707,164.452799,1421.280685,584.712181,1409.07758,1509.726254,32.820137,0.627185,1.222675,2.344348,210,953.938599,476.555991,4.856043,0.101162,2,0.258964,0.4,CurrentObject80_GH_Print.png,80
27.550176,4.323463,12.350734,13.314557,193.861344,436.595448,1406.603343,766.53041,692.956043,5.149478,5.406394,1.535871,1.596833,210,1186.292128,558.82919,3.778277,5.273473,0,11.167447,12.093876,CurrentObject81_GH_Print.png,81
