in:Length,in:Stiffness index,in:Strength class,in:CC Height,out:Transverse flexibility Te,out:Transverse flexibility,img
6,27,C18,70,374.920255,375.029,Length6_Stiffnessindex27_StrengthclassC18_CCHeight70_GH_Print.png
7,27,C18,70,693.081683,693.281,Length7_Stiffnessindex27_StrengthclassC18_CCHeight70_GH_Print.png
8,27,C18,70,1180.701061,1181.033,Length8_Stiffnessindex27_StrengthclassC18_CCHeight70_GH_Print.png
3,43,C18,70,22.228472,22.235,Length3_Stiffnessindex43_StrengthclassC18_CCHeight70_GH_Print.png
4,43,C18,70,69.194925,69.216,Length4_Stiffnessindex43_StrengthclassC18_CCHeight70_GH_Print.png
5,43,C18,70,167.737334,167.788,Length5_Stiffnessindex43_StrengthclassC18_CCHeight70_GH_Print.png
6,43,C18,70,346.473424,346.578,Length6_Stiffnessindex43_StrengthclassC18_CCHeight70_GH_Print.png
7,43,C18,70,640.380417,640.572,Length7_Stiffnessindex43_StrengthclassC18_CCHeight70_GH_Print.png
8,43,C18,70,1090.795028,1091.115,Length8_Stiffnessindex43_StrengthclassC18_CCHeight70_GH_Print.png
3,64,C18,70,21.188908,21.196,Length3_Stiffnessindex64_StrengthclassC18_CCHeight70_GH_Print.png
4,64,C18,70,65.909392,65.93,Length4_Stiffnessindex64_StrengthclassC18_CCHeight70_GH_Print.png
5,64,C18,70,159.716012,159.766,Length5_Stiffnessindex64_StrengthclassC18_CCHeight70_GH_Print.png
6,64,C18,70,329.840411,329.943,Length6_Stiffnessindex64_StrengthclassC18_CCHeight70_GH_Print.png
7,64,C18,70,609.565707,609.752,Length7_Stiffnessindex64_StrengthclassC18_CCHeight70_GH_Print.png
8,64,C18,70,1038.226493,1038.54,Length8_Stiffnessindex64_StrengthclassC18_CCHeight70_GH_Print.png
3,0,C22,70,82.660647,82.677,Length3_Stiffnessindex0_StrengthclassC22_CCHeight70_GH_Print.png
4,0,C22,70,260.307999,260.357,Length4_Stiffnessindex0_StrengthclassC22_CCHeight70_GH_Print.png
5,0,C22,70,634.454829,634.569,Length5_Stiffnessindex0_StrengthclassC22_CCHeight70_GH_Print.png
6,0,C22,70,1314.408457,1314.63,Length6_Stiffnessindex0_StrengthclassC22_CCHeight70_GH_Print.png
7,0,C22,70,2433.766716,2434.139,Length7_Stiffnessindex0_StrengthclassC22_CCHeight70_GH_Print.png
8,0,C22,70,4150.417956,4150.967,Length8_Stiffnessindex0_StrengthclassC22_CCHeight70_GH_Print.png
3,1,C22,70,60.798445,60.811,Length3_Stiffnessindex1_StrengthclassC22_CCHeight70_GH_Print.png
4,1,C22,70,191.212647,191.252,Length4_Stiffnessindex1_StrengthclassC22_CCHeight70_GH_Print.png
5,1,C22,70,465.765005,465.858,Length5_Stiffnessindex1_StrengthclassC22_CCHeight70_GH_Print.png
