Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
4.000000,0.000000,14.000000,0.022780,0.036356,0.005194
4.000000,0.000000,16.000000,0.206272,0.696829,0.099547
4.000000,0.000000,20.000000,0.340950,1.121174,0.160168
4.000000,1.000000,2.000000,7.332077,8.242989,1.177570
4.000000,1.000000,8.000000,0.809679,0.933258,0.133323
4.000000,1.000000,10.000000,0.035003,0.051131,0.007304
4.000000,1.000000,12.000000,0.074097,0.146227,0.020890
4.000000,1.000000,14.000000,0.375008,0.148964,0.021281
4.000000,1.000000,16.000000,0.061498,0.097364,0.013909
4.000000,1.000000,20.000000,0.038354,0.062622,0.008946
4.000000,2.000000,2.000000,7.093236,6.586967,0.940995
4.000000,2.000000,8.000000,0.139515,0.107115,0.015302
4.000000,2.000000,10.000000,0.098902,0.080305,0.011472
4.000000,2.000000,12.000000,0.097859,0.076973,0.010996
4.000000,2.000000,14.000000,0.045165,0.042867,0.006124
4.000000,2.000000,16.000000,0.026289,0.041787,0.005970
4.000000,2.000000,20.000000,0.066826,0.050227,0.007175
4.000000,3.000000,2.000000,7.366970,8.251430,1.178776
4.000000,3.000000,8.000000,0.550327,0.777693,0.111099
4.000000,3.000000,10.000000,0.445707,0.611220,0.087317
4.000000,3.000000,12.000000,0.125462,0.161274,0.023039
4.000000,3.000000,14.000000,0.038817,0.054885,0.007841
4.000000,3.000000,16.000000,0.047249,0.083543,0.011935
4.000000,3.000000,20.000000,0.422747,0.629627,0.089947
4.000000,4.000000,2.000000,7.154463,7.020249,1.002893
4.000000,4.000000,8.000000,0.251273,0.344086,0.049155
4.000000,4.000000,10.000000,0.252796,0.214267,0.030610
4.000000,4.000000,12.000000,0.071400,0.111036,0.015862
4.000000,4.000000,14.000000,0.034435,0.063557,0.009080
4.000000,4.000000,16.000000,0.028043,0.075607,0.010801
4.000000,4.000000,20.000000,0.013433,0.079465,0.011352
4.000000,5.000000,2.000000,7.418845,7.813504,1.116215
4.000000,5.000000,8.000000,0.453600,0.724707,0.103530
4.000000,5.000000,10.000000,0.422868,0.684859,0.097837
4.000000,5.000000,12.000000,0.144282,0.215957,0.030851
4.000000,5.000000,14.000000,0.069507,0.109660,0.015666
4.000000,5.000000,16.000000,0.038441,0.074417,0.010631
4.000000,5.000000,20.000000,0.047499,0.115027,0.016432
4.000000,6.000000,2.000000,7.293812,6.566500,0.938071
4.000000,6.000000,8.000000,0.994891,0.984301,0.140614
4.000000,6.000000,10.000000,0.105214,0.084801,0.012114
4.000000,6.000000,12.000000,0.191964,0.125768,0.017967
4.000000,6.000000,14.000000,0.078554,0.074535,0.010648
4.000000,6.000000,16.000000,0.680128,0.490401,0.070057
4.000000,6.000000,20.000000,0.060348,0.035567,0.005081
5.000000,0.000000,2.000000,7.101796,6.706145,0.958021
5.000000,0.000000,8.000000,0.576236,0.348396,0.049771
5.000000,0.000000,10.000000,0.097725,0.063487,0.009070
5.000000,0.000000,12.000000,0.069734,0.036024,0.005146
5.000000,0.000000,14.000000,0.414261,0.279836,0.039977
5.000000,0.000000,16.000000,0.047668,0.032566,0.004652
5.000000,0.000000,20.000000,0.019843,0.043874,0.006268
5.000000,1.000000,2.000000,7.696873,7.990544,1.141506
5.000000,1.000000,8.000000,0.514396,0.620853,0.088693
5.000000,1.000000,10.000000,0.625038,0.649229,0.092747
5.000000,1.000000,12.000000,0.313169,0.299674,0.042811
5.000000,1.000000,14.000000,0.044950,0.041410,0.005916
5.000000,1.000000,16.000000,0.023115,0.064805,0.009258
5.000000,1.000000,20.000000,0.016896,0.028401,0.004057
5.000000,2.000000,2.000000,7.540418,5.771580,0.824511
5.000000,2.000000,8.000000,0.394112,0.375439,0.053634
5.000000,2.000000,10.000000,0.066747,0.053926,0.007704
5.000000,2.000000,12.000000,0.051910,0.035664,0.005095
5.000000,2.000000,14.000000,0.040932,0.039486,0.005641
5.000000,2.000000,16.000000,0.016415,0.025744,0.003678
5.000000,2.000000,20.000000,0.025363,0.022717,0.003245
5.000000,3.000000,2.000000,7.345510,8.761261,1.251609
5.000000,3.000000,8.000000,0.226419,0.176751,0.025250
5.000000,3.000000,10.000000,0.211892,0.170648,0.024378
5.000000,3.000000,12.000000,0.095944,0.117890,0.016841
5.000000,3.000000,14.000000,0.203382,0.174078,0.024868
5.000000,3.000000,16.000000,0.042023,0.088402,0.012629
5.000000,3.000000,20.000000,0.014688,0.066555,0.009508
5.000000,4.000000,2.000000,6.872679,7.522312,1.074616
5.000000,4.000000,8.000000,0.300080,0.497576,0.071082
5.000000,4.000000,10.000000,0.618939,0.980075,0.140011
5.000000,4.000000,12.000000,0.057841,0.175772,0.025110
5.000000,4.000000,14.000000,0.039997,0.103674,0.014811
5.000000,4.000000,16.000000,0.022679,0.078034,0.011148
5.000000,4.000000,20.000000,0.091513,0.239394,0.034199
5.000000,5.000000,2.000000,7.591094,7.307674,1.043953
5.000000,5.000000,8.000000,0.764744,0.853739,0.121963
5.000000,5.000000,10.000000,0.050290,0.058415,0.008345
5.000000,5.000000,12.000000,0.061195,0.080176,0.011454
5.000000,5.000000,14.000000,0.150183,0.082383,0.011769
5.000000,5.000000,16.000000,0.049391,0.043002,0.006143
5.000000,5.000000,20.000000,0.060244,0.092287,0.013184
5.000000,6.000000,2.000000,7.114236,8.290631,1.184376
5.000000,6.000000,8.000000,0.154160,0.405180,0.057883
5.000000,6.000000,10.000000,0.116005,0.353958,0.050565
5.000000,6.000000,12.000000,0.097067,0.372944,0.053278
5.000000,6.000000,14.000000,0.156351,0.599783,0.085683
5.000000,6.000000,16.000000,0.021255,0.052157,0.007451
5.000000,6.000000,20.000000,0.031507,0.105944,0.015135
6.000000,0.000000,2.000000,7.504038,8.413943,1.201992
6.000000,0.000000,8.000000,0.436185,0.843368,0.120481
6.000000,0.000000,10.000000,0.074447,0.186305,0.026615
6.000000,0.000000,12.000000,0.220966,0.604964,0.086423
6.000000,0.000000,14.000000,0.030123,0.092117,0.013160
6.000000,0.000000,16.000000,0.312466,0.915078,0.130725
6.000000,0.000000,20.000000,0.138503,0.515703,0.073672
6.000000,1.000000,2.000000,7.077755,8.404796,1.200685
6.000000,1.000000,8.000000,0.082900,0.082553,0.011793
6.000000,1.000000,10.000000,0.055535,0.090653,0.012950
6.000000,1.000000,12.000000,0.065043,0.095803,0.013686
6.000000,1.000000,14.000000,0.314995,0.195062,0.027866
6.000000,1.000000,16.000000,0.142350,0.109069,0.015581
6.000000,1.000000,20.000000,0.182936,0.108516,0.015502
6.000000,2.000000,2.000000,7.331759,5.701907,0.814558
6.000000,2.000000,8.000000,0.116577,0.090778,0.012968
6.000000,2.000000,10.000000,0.196644,0.119038,0.017005
6.000000,2.000000,12.000000,0.168619,0.097208,0.013887
6.000000,2.000000,14.000000,0.139512,0.075221,0.010746
6.000000,2.000000,16.000000,0.073377,0.045779,0.006540
6.000000,2.000000,20.000000,0.018913,0.027096,0.003871
6.000000,3.000000,2.000000,7.169666,7.615181,1.087883
6.000000,3.000000,8.000000,0.090509,0.071421,0.010203
6.000000,3.000000,10.000000,0.156417,0.091540,0.013077
6.000000,3.000000,12.000000,0.056606,0.050429,0.007204
6.000000,3.000000,14.000000,0.044075,0.054641,0.007806
6.000000,3.000000,16.000000,0.047142,0.044948,0.006421
6.000000,3.000000,20.000000,0.370951,0.200158,0.028594
