Outer fold,Inner fold,Hyperparameter,Training error,Validation error,Weighted v. error
6.000000,4.000000,18.000000,0.093505,0.211466,0.030212
6.000000,4.000000,24.000000,0.043790,0.248432,0.035493
6.000000,4.000000,28.000000,0.034568,0.223876,0.031985
6.000000,5.000000,2.000000,0.545177,0.552175,0.078888
6.000000,5.000000,8.000000,0.174878,0.238296,0.034045
6.000000,5.000000,14.000000,0.080239,0.143467,0.020497
6.000000,5.000000,18.000000,0.069098,0.141114,0.020161
6.000000,5.000000,24.000000,0.050099,0.223129,0.031878
6.000000,5.000000,28.000000,0.038428,0.285761,0.040826
6.000000,6.000000,2.000000,0.576617,0.657130,0.093832
6.000000,6.000000,8.000000,0.135338,0.211320,0.030175
6.000000,6.000000,14.000000,0.092527,0.197271,0.028168
6.000000,6.000000,18.000000,0.066151,0.199364,0.028467
6.000000,6.000000,24.000000,0.046971,0.270018,0.038556
6.000000,6.000000,28.000000,0.043078,0.262354,0.037462
7.000000,0.000000,2.000000,0.529059,0.655713,0.093681
7.000000,0.000000,8.000000,0.140433,0.208051,0.029724
7.000000,0.000000,14.000000,0.135052,0.284972,0.040713
7.000000,0.000000,18.000000,0.071116,0.202704,0.028960
7.000000,0.000000,24.000000,0.059137,0.211429,0.030206
7.000000,0.000000,28.000000,0.042209,0.256364,0.036626
7.000000,1.000000,2.000000,0.546422,0.555340,0.079340
7.000000,1.000000,8.000000,0.217061,0.210872,0.030127
7.000000,1.000000,14.000000,0.098222,0.177663,0.025382
7.000000,1.000000,18.000000,0.066634,0.177004,0.025288
7.000000,1.000000,24.000000,0.071700,0.193604,0.027660
7.000000,1.000000,28.000000,0.061314,0.226522,0.032363
7.000000,2.000000,2.000000,0.553488,0.536701,0.076677
7.000000,2.000000,8.000000,0.150171,0.193201,0.027602
7.000000,2.000000,14.000000,0.074084,0.176200,0.025173
7.000000,2.000000,18.000000,0.110248,0.227184,0.032457
7.000000,2.000000,24.000000,0.053980,0.182614,0.026090
7.000000,2.000000,28.000000,0.036646,0.230061,0.032868
7.000000,3.000000,2.000000,0.562432,0.463200,0.066177
7.000000,3.000000,8.000000,0.185177,0.225199,0.032174
7.000000,3.000000,14.000000,0.093434,0.151046,0.021580
7.000000,3.000000,18.000000,0.056374,0.152962,0.021853
7.000000,3.000000,24.000000,0.045336,0.219348,0.031338
7.000000,3.000000,28.000000,0.053041,0.288596,0.041231
7.000000,4.000000,2.000000,0.536156,0.610255,0.087186
7.000000,4.000000,8.000000,0.211862,0.293283,0.041901
7.000000,4.000000,14.000000,0.089900,0.184298,0.026330
7.000000,4.000000,18.000000,0.135260,0.192631,0.027521
7.000000,4.000000,24.000000,0.043991,0.177874,0.025413
7.000000,4.000000,28.000000,0.037020,0.255553,0.036510
7.000000,5.000000,2.000000,0.463902,0.509744,0.072826
7.000000,5.000000,8.000000,0.173971,0.236420,0.033777
7.000000,5.000000,14.000000,0.100098,0.213498,0.030502
7.000000,5.000000,18.000000,0.061907,0.212329,0.030335
7.000000,5.000000,24.000000,0.050808,0.239306,0.034189
